"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C4,C7","100nF","~","-- mixed values --","3",""
"C2","470nF 600V","~","","1",""
"C3","0.33uF","~","","1",""
"C5","1nF","~","Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal","1",""
"C6","0.1uF","~","","1",""
"C8","6.8uF","~","","1",""
"C9","1uF","~","","1",""
"D1","LED","~","","1",""
"D2","10Vbr","~","","1",""
"D3,D5","D","~","","2",""
"D4","43Vbr","~","","1",""
"D6","5.1V","~","","1",""
"Q1","PMOS","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs","","1",""
"Q2","Q_NPN_CBE","~","","1",""
"Q3","Q_NMOS_DGS","~","","1",""
"Q4,Q5","LTV-849","LTV-847","LTV-847_LTO","2",""
"R1,R21,R22,R23,R24,R25,R26,R30,R31,R32","220","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","10",""
"R2,R11,R12,R16,R20","100k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","5",""
"R3,R6","20M","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","2",""
"R4","250k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","1",""
"R5,R27,R28,R29","10k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","4",""
"R7","2.85M","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","1",""
"R8","1Meg","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","1",""
"R9","7.5Meg","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","1",""
"R10","95k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","1",""
"R13","4.7Meg","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","1",""
"R14","160k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","1",""
"R15","1k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","1",""
"R17","14M","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","1",""
"R18","2M","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","1",""
"R19","6.2k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","1",""
"U1","ATtiny84A-P","http://ww1.microchip.com/downloads/en/DeviceDoc/doc8183.pdf","Package_DIP:DIP-14_W7.62mm","1",""
"U2","MCP3204-CI/P","MCP3204-CI/P","PDIP14_300MC_MCH","1",""
"U3","L7805CV","L7805CV","TO-220_STM","1",""
"U4,U5","LM397","http://www.ti.com/lit/ds/symlink/lm397.pdf","Package_TO_SOT_SMD:SOT-23-5","2",""
"U6","RFM-0505S","RFM-0505S","SIP4_RFM_RCP","1",""
